StateAbbr,PlaceName,PlaceFIPS,Population2010,Lack of Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,Blood Pressure Medication,Cancer,Asthma,Coronary Heart Disease,Annual Checkup,Cholesterol Screening,Colonoscopy,Chronic obstructive pulmonary disease,Preventive Services (Older Men),Preventive Services (Older Women),Smoking,Dental Visit,Diabetes,High Cholesterol,Kidney Disease,Physical Inactivity,Mammography,Poor Mental Health,Obesity,Cervical Cancer Screening,Poor Physical Health,Sleep < 7 hrs,Stroke,Teethlost,Geolocation
CA,Alhambra,600884,83089,17.9,16.6,12.0,26.2,51.1,4.5,6.8,4.6,67.0,73.1,55.9,4.0,22.4,25.3,12.2,61.4,10.9,35.3,2.3,24.8,79.7,10.1,18.1,73.7,11.4,38.4,2.3,8.8,"(34.08397343830, -118.135514119)"
CA,Anaheim,602000,336265,22.1,19.2,16.3,27.5,52.5,5.3,8.4,5.6,64.4,73.8,58.9,5.5,24.7,27.2,15.2,59.9,10.5,32.0,2.6,26.2,78.8,12.5,23.3,78.5,13.4,33.8,2.7,11.4,"(33.83890769960, -117.857613481)"
CA,Antioch,602252,102372,16.8,21.3,15.8,29.7,53.4,5.7,9.1,5.8,65.4,74.8,62.6,5.9,27.5,25.8,16.1,62.7,10.3,32.1,2.6,24.4,79.1,12.6,30.5,81.9,13.2,37.9,2.9,12.2,"(37.97770429220, -121.796606971)"
CA,Apple Valley,602364,69135,16.9,22.4,16.9,29.0,53.1,6.1,9.5,6.1,65.1,71.6,61.3,6.9,29.6,27.9,18.1,58.9,10.0,32.5,2.6,23.1,78.6,13.7,27.0,81.6,14.0,36.7,3.0,12.7,"(34.53159849480, -117.211012664)"
CA,Bakersfield,603526,347483,20.9,21.5,16.8,31.6,53.8,5.8,9.1,6.2,66.2,71.5,60.7,6.4,26.0,26.8,17.6,61.5,10.9,34.8,2.8,27.1,76.9,13.5,30.3,80.6,14.3,34.8,3.1,13.7,"(35.35133028550, -119.029786003)"
CA,Baldwin Park,603666,75390,30.1,19.0,14.3,27.4,50.5,4.5,7.9,6.1,64.5,72.4,50.9,5.1,20.0,20.3,15.3,52.3,13.7,35.7,2.9,30.0,77.4,13.3,27.4,77.5,16.1,38.9,2.9,12.7,"(34.08287151900, -117.972100918)"
CA,Bellflower,604982,76616,22.9,20.1,14.9,28.8,52.6,5.3,8.5,6.0,66.7,73.7,56.9,5.8,23.2,23.9,16.0,57.2,11.9,35.1,2.7,25.9,79.1,13.0,27.4,79.6,14.6,39.0,3.0,11.7,"(33.88804179230, -118.127100236)"
CA,Berkeley,606000,112580,9.9,19.1,15.8,25.9,52.3,6.1,8.2,4.7,66.0,73.4,70.3,4.3,35.5,30.7,11.3,71.4,7.8,31.4,2.2,16.5,81.4,9.8,21.0,84.1,9.4,30.9,2.3,6.5,"(37.87256787650, -122.274907975)"
CA,Buena Park,608786,80530,17.8,18.2,15.8,26.9,52.6,5.2,7.9,5.0,65.5,74.4,60.1,4.9,25.1,28.6,14.0,63.2,9.9,31.7,2.4,24.4,79.8,11.2,20.5,77.8,11.8,33.9,2.5,9.7,"(33.85721268440, -118.004517591)"
CA,Burbank,608954,103340,12.6,18.5,17.7,25.4,49.8,6.0,7.9,5.2,66.9,76.1,65.1,4.8,27.7,29.4,13.4,69.7,8.3,34.2,2.3,18.0,81.6,10.7,21.9,83.6,10.8,34.2,2.3,7.6,"(34.18797996050, -118.323429032)"
CA,Carlsbad,611194,105328,8.8,18.8,19.7,24.8,51.0,6.3,7.8,4.8,66.8,76.1,69.4,4.5,32.8,31.6,11.6,73.0,7.2,30.3,2.2,15.8,81.4,9.8,20.1,85.7,8.9,31.4,2.1,6.8,"(33.12480510260, -117.282903303)"
CA,Carson,611530,91714,18.7,18.4,14.0,28.7,52.6,4.9,7.9,5.2,68.9,75.2,60.0,4.5,22.0,25.1,13.7,61.0,11.7,34.1,2.6,23.8,81.9,11.2,24.4,80.2,12.3,39.8,2.9,9.9,"(33.83740830010, -118.255936422)"
CA,Chico,613014,86187,13.4,22.1,18.4,29.9,50.3,6.5,9.4,5.8,61.8,72.3,62.3,6.5,29.0,29.3,17.0,62.9,8.6,34.0,2.4,20.6,78.1,13.0,27.1,81.3,12.7,33.5,2.8,10.5,"(39.75685036680, -121.815983972)"
CA,Chino,613210,77983,17.3,19.7,16.9,27.4,51.2,5.3,8.2,5.5,65.7,72.3,61.7,5.1,28.0,26.8,14.2,61.5,10.4,32.0,2.5,22.4,80.5,11.5,24.7,83.8,12.4,36.0,2.6,11.2,"(33.98358812600, -117.665296584)"
CA,Chino Hills,613214,74799,10.6,17.3,15.9,25.6,50.6,5.2,7.2,4.3,67.6,73.4,66.7,3.8,30.2,31.7,10.7,70.2,8.3,31.4,2.1,17.8,83.1,8.9,18.6,83.9,9.0,34.2,2.0,7.2,"(33.95077454600, -117.725326968)"
CA,Chula Vista,613392,243916,19.2,19.0,16.6,26.1,51.7,5.1,7.7,5.4,66.2,73.9,60.7,4.8,27.0,24.7,12.8,61.5,11.1,30.9,2.7,24.0,79.3,11.4,23.9,82.1,12.1,35.7,2.5,11.2,"(32.62829642620, -117.010042407)"
CA,Citrus Heights,613588,83301,13.1,21.9,18.3,28.9,52.9,6.3,9.4,5.9,62.8,74.3,64.6,6.6,29.8,28.7,18.9,63.6,8.8,30.9,2.5,20.4,80.0,13.2,26.8,83.1,12.8,32.2,2.8,12.5,"(38.69477883420, -121.287991502)"
CA,Clovis,614218,95631,13.3,20.4,17.6,27.7,51.7,6.0,8.7,5.5,64.8,71.4,66.5,5.7,31.2,29.7,13.8,68.9,8.9,32.6,2.3,21.8,79.0,11.9,23.6,82.7,11.6,29.6,2.6,10.4,"(36.82894001790, -119.686652850)"
CA,Compton,615044,96455,32.4,23.0,13.5,34.5,55.4,5.0,10.2,7.3,67.3,72.6,52.5,7.1,17.7,18.5,19.4,46.1,16.5,35.3,3.4,32.2,79.2,16.1,35.5,78.9,19.1,43.2,4.6,19.1,"(33.89296569300, -118.227506568)"
CA,Concord,616000,122067,15.3,20.1,16.9,27.5,51.4,5.9,8.5,5.3,64.4,74.8,65.6,5.2,30.4,29.4,14.5,67.1,8.7,32.0,2.4,21.6,80.0,11.5,27.5,82.6,11.7,35.1,2.4,9.3,"(37.97218103070, -122.001588036)"
CA,Corona,616350,152374,16.9,20.3,16.8,29.1,49.0,5.7,8.4,5.4,66.8,74.7,63.6,5.2,26.3,28.5,14.6,65.2,9.7,33.0,2.5,23.3,81.2,11.6,26.3,83.0,12.1,36.5,2.6,11.4,"(33.86235717870, -117.564224471)"
CA,Costa Mesa,616532,109960,15.9,19.2,18.4,26.8,51.9,5.9,8.4,5.4,64.8,75.1,63.5,5.4,27.5,30.1,14.4,66.4,8.8,31.6,2.4,21.3,80.0,11.6,22.2,81.8,11.8,31.6,2.5,9.4,"(33.66676513530, -117.913504750)"
CA,Daly City,617918,101123,13.9,17.0,12.7,25.0,52.3,4.6,6.9,4.3,66.0,75.1,61.1,3.7,26.1,30.1,11.1,66.1,9.6,31.3,2.2,23.2,80.9,9.2,17.6,76.3,9.7,35.1,2.1,8.6,"(37.68615522760, -122.468298024)"
CA,Downey,619766,111772,22.7,18.6,16.0,26.4,50.0,5.2,7.7,5.7,66.1,74.3,58.7,4.8,24.1,24.8,13.5,61.4,11.2,34.8,2.7,23.8,80.3,11.8,26.3,82.7,13.3,36.5,2.6,9.8,"(33.93786725600, -118.131150116)"
CA,El Cajon,621712,99478,19.7,22.9,17.1,28.5,53.8,6.0,9.6,6.5,64.5,72.8,58.8,7.7,28.0,24.8,19.2,55.5,10.8,31.7,2.8,26.1,75.6,14.9,27.1,78.3,15.1,36.9,3.3,14.4,"(32.80165819210, -116.960483614)"
CA,Elk Grove,622020,153015,11.4,19.0,15.8,28.7,53.4,5.5,8.2,4.9,65.4,74.6,66.1,4.7,28.8,29.8,14.3,67.0,9.0,30.4,2.3,19.3,82.6,10.6,22.3,82.7,10.4,32.9,2.4,9.8,"(38.41599920060, -121.384137762)"
CA,El Monte,622230,113475,32.2,19.6,12.7,28.7,51.7,4.4,8.2,6.3,63.8,70.7,47.4,5.8,19.1,19.8,17.0,47.9,14.4,36.5,2.9,33.0,75.2,14.2,26.4,71.8,17.4,40.4,3.2,14.7,"(34.07391965300, -118.029071951)"
CA,Escondido,622804,143911,23.1,21.7,16.7,27.3,52.6,5.7,9.0,6.3,64.1,72.6,59.1,6.8,27.7,24.9,17.1,55.5,11.1,31.6,2.8,26.7,76.4,14.1,26.5,78.9,14.7,36.4,3.1,14.1,"(33.13469529550, -117.072122618)"
CA,Fairfield,623182,105321,15.8,21.2,16.4,29.7,54.6,5.6,8.9,5.6,65.2,73.8,63.4,5.7,27.0,28.3,15.8,63.0,10.2,32.3,2.6,22.8,78.5,12.2,26.7,79.9,12.5,35.3,2.9,12.2,"(38.25584463430, -122.039303253)"
CA,Folsom,624638,72203,8.9,18.4,19.5,27.1,51.7,6.2,7.8,4.7,65.0,76.2,71.4,4.3,33.0,33.8,13.5,72.7,7.1,29.9,2.1,15.2,84.1,9.5,21.8,87.1,8.9,29.8,2.1,7.5,"(38.67504943280, -121.147605753)"
CA,Fontana,624680,196069,23.4,21.0,15.5,29.2,52.5,5.1,8.9,6.1,65.2,70.7,57.2,5.9,25.4,23.4,15.6,54.9,12.4,32.6,2.8,26.6,78.8,13.2,28.1,81.8,15.0,37.7,3.1,15.0,"(34.09742278330, -117.459241285)"
CA,Fremont,626000,214089,10.3,16.7,13.7,23.1,50.4,5.1,6.9,4.1,66.5,74.1,67.7,3.5,33.0,30.6,10.1,71.2,8.0,31.1,2.0,18.7,81.1,8.4,15.6,81.0,8.5,32.5,1.9,6.9,"(37.52786854050, -121.984121512)"
CA,Fresno,627000,494665,24.3,22.2,14.7,31.4,54.3,5.5,9.6,6.6,63.3,67.7,58.0,7.1,27.4,25.1,16.8,56.3,12.3,34.0,2.8,30.3,75.5,14.8,28.7,76.7,16.2,32.9,3.4,15.2,"(36.78267867110, -119.794126569)"
CA,Fullerton,628000,135161,16.5,18.3,16.3,26.9,52.5,5.5,8.0,5.0,65.4,74.4,62.2,4.9,26.8,30.3,13.7,65.3,9.1,31.7,2.3,22.5,80.2,11.1,20.6,79.0,11.4,32.7,2.4,8.6,"(33.88403780130, -117.927850895)"
CA,Garden Grove,629000,170883,20.8,18.5,14.5,27.4,52.8,4.9,7.9,5.3,64.6,73.3,55.9,5.3,22.9,26.6,15.4,58.0,10.8,32.2,2.5,28.1,77.7,12.0,19.9,73.2,13.0,35.6,2.7,11.8,"(33.77869406350, -117.960111162)"
CA,Glendale,630000,191719,14.4,19.6,16.2,26.7,51.0,6.0,8.4,5.6,66.1,74.6,61.4,5.8,26.6,27.3,15.3,65.2,9.0,34.9,2.4,20.5,79.5,12.0,22.5,79.8,12.3,35.3,2.7,9.6,"(34.18188937300, -118.246766660)"
CA,Hawthorne,632548,84293,24.0,20.6,14.3,31.1,54.3,5.2,9.1,6.2,68.0,73.9,56.6,5.8,21.9,22.6,16.4,55.2,13.2,34.9,2.9,26.6,80.0,13.6,30.1,80.6,15.3,40.3,3.4,12.4,"(33.91466770100, -118.347667728)"
CA,Hayward,633000,144186,18.7,20.0,14.4,25.7,52.0,5.3,8.4,5.4,65.1,73.1,62.0,5.2,29.7,25.6,14.5,60.4,10.8,31.5,2.6,24.7,78.1,11.9,23.8,80.0,12.7,35.6,2.8,11.4,"(37.63295915510, -122.077051051)"
CA,Hemet,633182,78657,22.6,24.1,15.4,32.1,51.2,6.1,10.1,6.8,64.8,72.3,56.6,8.0,25.3,25.5,20.5,54.9,11.1,34.3,2.8,29.1,76.2,15.4,31.5,77.6,16.6,39.0,3.4,16.5,"(33.73522773110, -116.994605005)"
CA,Hesperia,633434,90173,22.2,23.2,15.9,29.8,52.9,5.8,9.7,6.8,63.8,70.1,56.0,7.6,26.9,23.8,19.1,53.0,11.7,33.2,2.8,26.8,76.2,14.9,29.2,79.7,16.3,37.6,3.4,16.3,"(34.39734767730, -117.314392219)"
CA,Huntington Beach,636000,189992,11.1,18.2,19.6,25.4,51.3,6.1,8.0,4.8,65.8,76.7,67.7,4.7,29.1,33.1,13.2,71.9,7.4,30.9,2.2,18.0,81.9,10.4,19.6,83.5,9.8,30.4,2.2,7.1,"(33.69527490770, -118.001810806)"
CA,Indio,636448,76036,27.7,22.1,15.4,30.9,49.7,5.6,9.1,6.5,64.4,72.0,57.1,6.4,25.9,25.9,17.3,55.3,11.8,34.2,2.9,29.6,77.8,14.3,31.6,79.4,16.3,38.0,3.1,14.6,"(33.72980678370, -116.237258141)"
CA,Inglewood,636546,109673,26.3,22.0,13.8,34.3,55.8,5.2,9.9,6.5,69.3,74.1,57.6,6.2,19.8,21.4,17.4,52.3,14.8,34.5,3.1,27.9,81.5,14.5,33.6,81.6,16.5,42.4,4.1,14.6,"(33.95657480180, -118.344444926)"
CA,Irvine,636770,212375,9.0,16.4,15.9,25.7,52.1,5.6,7.2,4.2,67.1,75.4,67.5,3.7,28.7,33.2,10.1,73.8,7.2,31.2,2.0,17.2,82.7,8.6,15.6,80.9,8.3,30.6,2.0,6.0,"(33.67801089040, -117.773633283)"
CA,Lake Forest,639496,77264,11.0,17.9,19.2,25.1,50.9,5.9,7.7,4.8,66.3,76.9,67.6,4.5,28.1,31.6,11.9,72.5,7.6,30.7,2.2,17.9,82.2,9.8,19.2,84.4,9.5,30.3,2.2,8.3,"(33.66341289480, -117.670683341)"
CA,Lakewood,639892,80048,14.3,18.4,16.8,25.8,50.5,5.7,7.8,5.1,67.7,76.1,64.1,4.7,26.4,28.9,13.5,67.4,9.1,34.0,2.3,19.7,81.7,10.8,22.4,82.9,11.0,36.2,2.4,8.0,"(33.84705319410, -118.122204765)"
CA,Lancaster,640130,156633,21.5,21.6,15.8,30.0,53.3,5.8,9.2,6.6,66.6,74.1,57.2,6.9,23.3,23.2,18.2,56.4,11.9,35.1,2.8,25.5,78.2,14.1,29.3,79.9,15.5,39.3,3.5,13.5,"(34.69343470170, -118.175306356)"
CA,Livermore,641992,80968,10.8,19.4,18.5,22.9,49.6,6.2,8.1,4.9,65.1,75.6,70.1,4.7,35.3,31.1,12.8,71.9,7.5,30.7,2.2,17.2,80.5,10.3,21.0,86.0,9.8,30.6,2.2,7.8,"(37.68651013610, -121.764357841)"
CA,Long Beach,643000,462257,21.0,19.7,15.2,28.8,52.7,5.6,8.6,5.8,66.8,73.7,59.6,5.6,25.2,26.5,15.6,59.9,11.1,35.0,2.6,23.9,79.8,12.7,26.2,79.5,13.9,37.9,3.0,10.2,"(33.80601448250, -118.160894146)"
CA,Los Angeles,644000,3792621,23.4,19.8,15.1,28.9,52.3,5.4,8.5,6.0,65.9,73.0,57.5,5.7,24.3,24.9,15.6,58.2,11.7,35.4,2.7,25.1,79.1,13.0,26.7,79.1,14.7,37.5,3.1,11.3,"(34.11822778980, -118.408500088)"
CA,Lynwood,644574,69772,37.1,21.9,13.6,31.2,53.0,4.7,9.5,7.5,64.2,71.1,47.6,6.8,18.0,17.0,18.6,44.8,16.4,36.3,3.5,34.0,76.0,16.3,34.2,77.0,20.2,40.8,4.0,18.2,"(33.92396168670, -118.201648375)"
CA,Manteca,645484,67096,17.1,21.4,17.1,30.5,53.2,5.8,9.0,5.9,63.2,73.6,63.0,6.1,28.7,27.1,16.9,62.1,9.5,34.3,2.5,25.1,78.6,12.8,27.8,82.4,13.0,34.9,2.8,12.8,"(37.79619251020, -121.231230612)"
CA,Menifee,646842,77519,15.4,21.5,17.7,28.8,48.7,6.1,8.8,5.8,66.5,75.5,63.7,5.9,27.2,29.0,16.2,65.3,9.2,32.8,2.5,22.8,80.3,12.3,27.0,83.4,12.5,36.7,2.7,12.1,"(33.69095330450, -117.184876990)"
CA,Merced,646898,78958,25.0,22.7,14.1,34.5,54.1,5.5,9.7,6.8,63.6,67.4,54.2,7.3,25.5,22.7,18.5,54.2,12.4,35.3,3.0,30.2,73.8,15.0,31.6,75.4,17.0,36.0,3.5,16.3,"(37.30558632170, -120.477710571)"
CA,Milpitas,647766,66790,12.0,15.7,12.2,25.5,50.4,4.5,6.7,4.0,66.2,75.0,62.0,3.5,25.5,30.7,10.4,69.9,9.0,31.4,2.1,21.1,81.4,8.6,15.2,76.6,8.8,35.6,2.0,7.7,"(37.43386976300, -121.892083025)"
CA,Mission Viejo,648256,93305,9.4,17.7,20.2,24.8,50.8,6.2,7.8,4.6,66.5,77.4,69.6,4.3,29.9,34.2,11.9,74.9,6.9,30.5,2.1,16.2,82.9,9.6,18.8,85.6,8.9,29.5,2.0,6.5,"(33.60959768910, -117.655029608)"
CA,Modesto,648354,201165,19.5,22.3,16.4,29.5,53.5,5.9,9.3,6.3,64.3,70.7,60.6,6.8,26.9,27.3,18.0,59.5,10.4,32.7,2.7,25.6,78.1,14.0,30.0,78.9,14.7,35.5,3.1,13.7,"(37.66154782210, -120.988548061)"
CA,Moreno Valley,649270,193365,23.7,22.4,14.8,32.8,51.7,5.4,9.5,6.3,66.6,72.9,57.6,6.4,22.9,23.9,17.7,55.4,12.5,33.8,2.9,29.3,79.0,14.1,31.7,79.8,15.6,40.1,3.4,15.7,"(33.92443141120, -117.204501895)"
CA,Mountain View,649670,74066,9.4,16.6,15.7,25.7,50.0,5.6,7.3,4.2,65.9,75.8,68.0,3.6,30.0,33.4,9.4,76.3,7.3,31.2,2.1,15.7,82.9,8.4,18.4,84.0,8.2,31.0,1.9,6.0,"(37.39992523790, -122.079544343)"
CA,Murrieta,650076,103466,12.3,20.4,17.8,28.3,48.7,6.1,8.4,5.2,67.3,75.9,66.4,5.1,28.6,31.5,14.5,69.3,8.3,32.6,2.3,20.3,81.9,11.1,24.8,84.0,10.9,35.7,2.4,9.4,"(33.57197433560, -117.190921143)"
CA,Napa,650258,76915,16.6,20.8,17.8,27.0,51.1,6.1,8.8,5.7,64.0,73.7,63.8,5.9,28.5,29.9,15.5,66.3,8.8,32.0,2.5,21.6,78.3,12.3,26.1,83.4,12.4,30.9,2.6,11.1,"(38.29804246490, -122.301093331)"
CA,Newport Beach,651182,85186,7.0,17.2,20.5,25.1,51.0,6.4,7.7,4.4,66.7,77.5,71.3,3.9,31.5,35.5,10.5,78.2,6.1,30.7,2.0,13.8,83.5,8.7,17.8,86.6,7.9,27.7,1.9,5.2,"(33.61501036070, -117.867364631)"
CA,Norwalk,652526,105549,24.5,18.8,15.3,26.8,50.3,4.9,7.8,5.8,65.7,73.9,55.9,5.0,22.3,23.1,14.4,58.0,12.2,35.0,2.7,26.0,79.3,12.3,26.5,80.4,14.2,37.9,2.7,10.8,"(33.90688082280, -118.082915204)"
CA,Oakland,653000,390724,18.3,21.0,14.0,29.3,54.9,5.4,9.3,5.5,66.5,72.7,63.0,5.6,28.9,25.0,15.2,59.5,11.5,31.7,2.7,24.5,79.2,12.5,25.8,80.7,13.3,36.0,3.3,13.0,"(37.79087803500, -122.214859257)"
CA,Oceanside,653322,167086,16.7,20.6,18.0,26.4,52.0,5.9,8.5,5.7,65.6,74.4,62.8,5.8,29.3,27.3,15.3,62.0,9.8,30.9,2.6,22.6,78.5,12.4,24.4,81.8,12.2,35.4,2.7,10.8,"(33.22474574740, -117.308200285)"
CA,Ontario,653896,163924,24.6,21.4,15.5,28.8,52.2,5.2,9.0,6.2,64.4,70.4,56.5,6.1,26.0,24.0,16.2,53.8,12.3,32.8,2.8,27.1,78.2,13.6,28.4,81.2,15.5,37.5,3.1,14.8,"(34.03926494640, -117.606427103)"
CA,Orange,653980,136416,15.9,18.7,18.2,26.3,51.6,5.7,8.2,5.2,65.1,75.3,63.7,5.1,26.9,29.9,14.0,66.5,8.8,31.4,2.4,21.5,80.4,11.3,21.6,81.9,11.4,31.8,2.4,9.4,"(33.80464195670, -117.823185500)"
